epoch,avg_train_loss,avg_train_loss_det,avg_valid_loss,time
1,0.058944,0.058944,nan,1133.634940
2,0.024751,0.024751,nan,1129.884951
3,0.023951,0.023951,nan,1120.741357
4,0.023560,0.023560,nan,1110.843050
5,0.023248,0.023248,nan,1119.770809
6,0.023054,0.023054,nan,1139.036796
7,0.022991,0.022991,nan,1146.631667
8,0.022902,0.022902,nan,1134.791907
9,0.022866,0.022866,nan,1138.075263
10,0.022815,0.022815,nan,1133.055334
11,0.022821,0.022821,nan,1122.107106
12,0.022703,0.022703,nan,1132.252546
13,0.022658,0.022658,nan,1129.258554
14,0.022618,0.022618,nan,1128.648402
15,0.022515,0.022515,nan,1134.127617
16,0.022557,0.022557,nan,1134.628589
17,0.022569,0.022569,nan,1131.700603
18,0.022470,0.022470,nan,1119.266249
19,0.022438,0.022438,nan,1122.030192
20,0.022415,0.022415,nan,1124.987639
21,0.022379,0.022379,nan,1129.076119
22,0.022351,0.022351,nan,1123.904909
23,0.022438,0.022438,nan,1128.058189
24,0.022440,0.022440,nan,1133.776542
25,0.022395,0.022395,nan,1138.264754
26,0.022340,0.022340,nan,1145.687989
27,0.022399,0.022399,nan,1133.830293
28,0.022386,0.022386,nan,1144.997336
29,0.022351,0.022351,nan,1126.624316
30,0.022420,0.022420,nan,1131.676286
31,0.022390,0.022390,nan,1132.394418
32,0.022424,0.022424,nan,1139.787957
33,0.022490,0.022490,nan,1122.114968
34,0.022414,0.022414,nan,1139.125166
35,0.022402,0.022402,nan,1147.517830
36,0.022510,0.022510,nan,1139.086335
37,0.022447,0.022447,nan,1140.769074
38,0.022418,0.022418,nan,1138.568521
39,0.022398,0.022398,nan,1129.482028
40,0.022304,0.022304,nan,1130.318529
41,0.022271,0.022271,nan,1122.934176
42,0.022245,0.022245,nan,1121.949606
43,0.022258,0.022258,nan,1133.767792
44,0.022261,0.022261,nan,1141.515041
45,0.022212,0.022212,nan,1135.338879
46,0.022210,0.022210,nan,1141.560761
47,0.022243,0.022243,nan,1139.304302
48,0.022230,0.022230,nan,1140.179980
49,0.022238,0.022238,nan,1123.098972
50,0.022224,0.022224,nan,1126.913827
51,0.022247,0.022247,nan,1129.486222
52,0.022255,0.022255,nan,1130.279240
53,0.022165,0.022165,nan,1137.578385
54,0.022166,0.022166,nan,1135.431139
55,0.022196,0.022196,nan,1129.967978
56,0.022177,0.022177,nan,1146.515521
57,0.022171,0.022171,nan,1148.917485
58,0.022163,0.022163,nan,1146.335997
59,0.022177,0.022177,nan,1144.384356
60,0.022192,0.022192,nan,1157.126982
61,0.022181,0.022181,nan,1145.137548
62,0.022143,0.022143,nan,1145.337328
63,0.022169,0.022169,nan,1154.393600
64,0.022192,0.022192,nan,1142.952414
