epoch,avg_train_loss,avg_train_loss_det,avg_valid_loss,time
1,0.213402,0.211855,nan,618.939679
2,0.034431,0.032484,nan,614.170527
3,0.030887,0.029654,nan,612.678699
4,0.029517,0.028540,nan,614.399228
5,0.029028,0.028163,nan,613.140702
6,0.028382,0.027610,nan,615.834264
7,0.027922,0.027183,nan,617.565887
8,0.027038,0.026349,nan,617.737612
9,0.026310,0.025687,nan,618.823323
10,0.025924,0.025342,nan,614.306737
11,0.025579,0.025028,nan,619.742256
12,0.025360,0.024831,nan,618.103257
13,0.025170,0.024660,nan,616.144741
14,0.024912,0.024424,nan,616.443800
15,0.024721,0.024252,nan,616.003423
16,0.024544,0.024089,nan,611.849092
17,0.024406,0.023963,nan,616.492998
18,0.024354,0.023921,nan,618.687566
19,0.024211,0.023786,nan,615.770800
20,0.024135,0.023714,nan,613.652859
21,0.024096,0.023678,nan,615.121418
22,0.024039,0.023624,nan,613.762115
23,0.024020,0.023609,nan,613.045086
24,0.024151,0.023735,nan,615.512423
25,0.024255,0.023835,nan,614.513022
26,0.024373,0.023946,nan,613.605785
27,0.024302,0.023874,nan,613.371018
28,0.024172,0.023749,nan,611.603937
29,0.024179,0.023754,nan,611.200327
30,0.024346,0.023915,nan,614.660851
31,0.024718,0.024255,nan,616.937378
32,0.024465,0.024009,nan,616.656675
33,0.024215,0.023773,nan,619.034337
34,0.024088,0.023657,nan,615.583560
35,0.024020,0.023596,nan,615.430820
36,0.024171,0.023744,nan,611.767793
37,0.024278,0.023843,nan,613.451275
38,0.024373,0.023920,nan,615.335535
39,0.024155,0.023704,nan,618.634544
40,0.024083,0.023631,nan,618.528222
41,0.024261,0.023799,nan,619.589692
42,0.024273,0.023799,nan,618.380880
43,0.024086,0.023625,nan,618.497986
44,0.024118,0.023660,nan,616.789878
45,0.024429,0.023956,nan,614.779710
46,0.024814,0.024306,nan,614.173829
47,0.024829,0.024332,nan,618.550344
48,0.025021,0.024516,nan,618.466043
49,0.024985,0.024479,nan,617.305453
50,0.025018,0.024513,nan,621.359431
51,0.025229,0.024722,nan,614.147952
52,0.025131,0.024628,nan,614.338690
53,0.025445,0.024936,nan,616.360686
54,0.025357,0.024848,nan,616.229284
55,0.025302,0.024787,nan,615.363445
56,0.024977,0.024489,nan,617.411838
57,0.025226,0.024731,nan,612.273222
58,0.025604,0.025072,nan,616.163920
59,0.025679,0.025138,nan,620.578272
60,0.025246,0.024736,nan,615.212371
61,0.025247,0.024756,nan,614.658175
62,0.025201,0.024717,nan,611.031977
63,0.025118,0.024640,nan,610.335430
64,0.025450,0.024945,nan,613.687431
65,0.025212,0.024709,nan,615.293508
66,0.025204,0.024715,nan,616.041866
67,0.025027,0.024551,nan,616.617844
68,0.025491,0.025006,nan,614.162912
69,0.025985,0.025463,nan,614.449314
70,0.026986,0.026397,nan,616.876751
71,0.026321,0.025760,nan,617.562230
72,0.026716,0.026135,nan,618.716082
73,0.026961,0.026387,nan,614.631047
74,0.026756,0.026203,nan,614.484513
75,0.026958,0.026403,nan,618.952697
76,0.027577,0.026953,nan,619.469008
77,0.026370,0.025799,nan,620.032655
78,0.026352,0.025794,nan,616.287691
79,0.025849,0.025324,nan,619.614232
80,0.026255,0.025702,nan,618.009911
81,0.025849,0.025300,nan,612.681647
82,0.025531,0.025018,nan,611.059435
83,0.025396,0.024889,nan,610.600848
84,0.025214,0.024714,nan,613.637019
85,0.025100,0.024612,nan,620.183432
86,0.025163,0.024671,nan,616.659336
87,0.025632,0.025120,nan,616.231168
88,0.025527,0.025006,nan,619.808871
89,0.026501,0.025943,nan,616.010066
90,0.026580,0.025989,nan,614.996513
91,0.026147,0.025581,nan,616.141973
92,0.025863,0.025315,nan,619.827794
93,0.025866,0.025335,nan,617.993295
94,0.026209,0.025655,nan,617.690841
95,0.025623,0.025075,nan,617.513848
96,0.025771,0.025229,nan,620.641100
97,0.026715,0.026132,nan,615.684461
98,0.026635,0.026037,nan,619.025691
99,0.026240,0.025631,nan,618.515641
100,0.027204,0.026602,nan,616.368155
101,0.027077,0.026453,nan,614.773887
102,0.025880,0.025313,nan,616.648016
103,0.027064,0.026459,nan,615.033676
104,0.026213,0.025619,nan,614.096278
105,0.025783,0.025221,nan,613.863449
106,0.025543,0.025000,nan,616.969274
107,0.025450,0.024918,nan,617.973353
108,0.025407,0.024894,nan,615.882444
109,0.025816,0.025286,nan,619.357215
110,0.025890,0.025354,nan,617.970674
111,0.025798,0.025260,nan,615.526070
112,0.025593,0.025062,nan,616.525622
113,0.025649,0.025123,nan,617.043494
114,0.025713,0.025185,nan,618.787503
115,0.025669,0.025150,nan,620.087975
116,0.025708,0.025183,nan,618.800801
117,0.025521,0.024989,nan,616.984265
118,0.025741,0.025211,nan,617.198034
119,0.025692,0.025176,nan,615.406169
120,0.025439,0.024920,nan,616.878729
121,0.025301,0.024779,nan,617.537416
122,0.025172,0.024661,nan,616.885690
123,0.025428,0.024922,nan,611.863051
124,0.025428,0.024919,nan,613.611895
125,0.025368,0.024856,nan,616.242931
126,0.025791,0.025235,nan,616.904597
127,0.025393,0.024851,nan,618.760335
128,0.025114,0.024576,nan,616.093568
129,0.025287,0.024752,nan,611.700134
