epoch,avg_train_loss,avg_valid_loss,time
1,0.177914,nan,274.035206
2,0.031097,nan,282.111236
3,0.027765,nan,278.912718
4,0.026417,nan,280.050168
5,0.025733,nan,279.276945
6,0.025295,nan,277.765982
7,0.024926,nan,276.936504
8,0.024651,nan,282.169862
9,0.024388,nan,286.168391
10,0.024192,nan,281.145451
11,0.024048,nan,283.405714
12,0.023918,nan,285.161133
13,0.023808,nan,282.699078
14,0.023686,nan,281.547365
15,0.023583,nan,284.921358
16,0.023494,nan,283.073093
17,0.023405,nan,283.164580
18,0.023320,nan,286.898635
19,0.023243,nan,284.514064
20,0.023177,nan,284.977306
21,0.023117,nan,279.330525
22,0.023069,nan,275.788415
23,0.023030,nan,282.437493
24,0.022985,nan,283.051051
25,0.022938,nan,283.542230
26,0.022895,nan,281.885781
27,0.022855,nan,282.792020
28,0.022820,nan,283.532238
29,0.022793,nan,284.076312
30,0.022768,nan,288.580722
31,0.022745,nan,288.365183
32,0.022728,nan,281.995477
33,0.022711,nan,282.214379
34,0.022699,nan,285.287759
35,0.022688,nan,285.644588
36,0.022685,nan,288.232666
37,0.022698,nan,287.209179
38,0.022715,nan,289.804875
39,0.022717,nan,286.539193
40,0.022719,nan,287.586953
41,0.022716,nan,291.067866
42,0.022713,nan,289.435801
43,0.022729,nan,287.572107
44,0.022778,nan,282.991237
45,0.022794,nan,289.561768
46,0.022762,nan,288.085919
47,0.022742,nan,287.754980
48,0.022739,nan,287.053197
49,0.022787,nan,285.934762
50,0.022932,nan,289.756692
51,0.022908,nan,287.814321
52,0.022915,nan,284.076185
53,0.022968,nan,287.244796
54,0.022868,nan,288.063571
55,0.022853,nan,285.645659
56,0.023046,nan,286.422443
57,0.022934,nan,285.861919
58,0.022869,nan,285.504158
59,0.022944,nan,291.656722
60,0.022887,nan,289.329754
61,0.022898,nan,286.986620
62,0.022944,nan,291.251942
63,0.022830,nan,284.898635
64,0.022893,nan,287.873546
65,0.022751,nan,286.425448
66,0.022696,nan,286.042738
67,0.022668,nan,286.478335
68,0.022586,nan,283.994069
69,0.022593,nan,285.089136
70,0.022576,nan,286.622726
71,0.022622,nan,286.974018
72,0.022606,nan,286.017263
73,0.022514,nan,286.639703
74,0.022479,nan,286.834893
75,0.022423,nan,283.943272
76,0.022381,nan,283.685361
77,0.022391,nan,284.087397
78,0.022402,nan,283.604231
79,0.022413,nan,286.190943
80,0.022393,nan,288.869669
81,0.022356,nan,285.789413
82,0.022297,nan,287.326180
83,0.022274,nan,285.044578
84,0.022269,nan,286.616611
