epoch,avg_train_loss,avg_valid_loss,time
1,0.317460,nan,59.244195
2,0.315697,nan,60.561030
3,0.089219,nan,60.013455
4,0.048490,nan,60.140450
5,0.040396,nan,60.429828
6,0.036645,nan,60.077415
7,0.034708,nan,60.465200
8,0.033191,nan,60.049337
9,0.031943,nan,60.137301
10,0.030895,nan,60.399586
11,0.030076,nan,59.786399
12,0.029449,nan,60.313362
13,0.028947,nan,60.013856
14,0.028514,nan,60.059226
15,0.028138,nan,60.754587
16,0.027807,nan,61.221249
17,0.027514,nan,60.925361
18,0.027259,nan,60.306037
19,0.027039,nan,60.305890
20,0.026847,nan,60.799045
21,0.026673,nan,60.560954
22,0.026516,nan,60.107889
23,0.026370,nan,60.356266
24,0.026235,nan,60.835441
25,0.026108,nan,60.596078
26,0.025989,nan,60.266522
27,0.025880,nan,60.232396
28,0.025780,nan,60.161461
29,0.025694,nan,59.652987
