epoch,avg_train_loss,avg_train_loss_det,avg_valid_loss,time
1,0.222821,0.222821,0.046325,3388.513925
2,0.040981,0.040981,0.034012,3364.983615
3,0.031352,0.031352,0.033338,3401.082132
4,0.025615,0.025615,0.027034,3391.639133
5,0.022178,0.022178,0.021264,3365.065507
6,0.019179,0.019179,0.023392,3389.362648
7,0.016707,0.016707,0.017443,3383.578144
8,0.015005,0.015005,0.019312,3363.456389
9,0.013749,0.013749,0.013365,3401.463444
10,0.012618,0.012618,0.014808,3375.671656
11,0.011797,0.011797,0.014676,3396.877225
12,0.011626,0.011626,0.013707,3324.905403
13,0.011051,0.011051,0.011132,3364.483556
