epoch,avg_train_loss,avg_train_loss_det,avg_valid_loss,time
1,0.328019,0.328019,0.313170,2429.056282
2,0.328019,0.328019,0.313170,2373.604564
3,0.328019,0.328019,0.313170,2359.991516
4,0.328019,0.328019,0.313170,2361.423269
5,0.328019,0.328019,0.313170,2363.713930
6,0.328018,0.328018,0.313170,2484.402934
7,0.328018,0.328018,0.313170,2410.501488
8,0.328018,0.328018,0.313170,2373.551183
9,0.328018,0.328018,0.313169,2430.232874
10,0.328018,0.328018,0.313169,2417.859351
11,0.328017,0.328017,0.313169,2423.256010
12,0.328017,0.328017,0.313168,2397.617527
13,0.328016,0.328016,0.313167,2399.687180
14,0.328014,0.328014,0.313166,2395.395007
15,0.328012,0.328012,0.313163,2409.353513
16,0.328007,0.328007,0.313155,2420.903796
17,0.327989,0.327989,0.313119,2438.281694
18,0.285244,0.285244,0.128621,2397.042690
19,0.106220,0.106220,0.093670,2403.772040
20,0.091430,0.091430,0.078767,2401.652122
21,0.070492,0.070492,0.055628,2426.185018
22,0.056518,0.056518,0.050945,2404.390802
23,0.051682,0.051682,0.044813,2393.938235
24,0.048246,0.048246,0.046724,2410.114749
25,0.046026,0.046026,0.044315,2393.805964
26,0.044312,0.044312,0.043217,2422.210813
27,0.043369,0.043369,0.039088,2433.958957
28,0.042562,0.042562,0.040683,2457.909011
29,0.041182,0.041182,0.045735,2462.213004
30,0.040956,0.040956,0.037300,2447.963684
31,0.038804,0.038804,0.035311,2462.892679
32,0.037583,0.037583,0.039966,2457.737852
33,0.036727,0.036727,0.032738,2459.609108
