train_loss,train_loss_det
0.320425,0.320425
0.325945,0.325945
0.323932,0.323932
0.309053,0.309053
0.319050,0.319050
0.317528,0.317528
0.333929,0.333929
0.325721,0.325721
0.330518,0.330518
0.334493,0.334493
0.322886,0.322886
0.326911,0.326911
0.336141,0.336141
0.312406,0.312406
0.319973,0.319973
0.347299,0.347299
0.329885,0.329885
0.324508,0.324508
0.321577,0.321577
0.321940,0.321940
0.326874,0.326874
0.340940,0.340940
0.313936,0.313936
0.330308,0.330308
0.323427,0.323427
0.338593,0.338593
0.332834,0.332834
0.347080,0.347080
0.335734,0.335734
0.343647,0.343647
0.347176,0.347176
0.336695,0.336695
0.311482,0.311482
0.336047,0.336047
0.329131,0.329131
0.318504,0.318504
0.349005,0.349005
0.316025,0.316025
0.345031,0.345031
0.328414,0.328414
0.316075,0.316075
0.319413,0.319413
0.328877,0.328877
0.336058,0.336058
0.335285,0.335285
0.333385,0.333385
0.330573,0.330573
0.332871,0.332871
0.325342,0.325342
0.321716,0.321716
0.340094,0.340094
0.330984,0.330984
0.335932,0.335932
0.317504,0.317504
0.328180,0.328180
0.350952,0.350952
0.334923,0.334923
0.343242,0.343242
0.325285,0.325285
0.336921,0.336921
0.334773,0.334773
0.330410,0.330410
0.314246,0.314246
0.335246,0.335246
0.333561,0.333561
0.338154,0.338154
0.324471,0.324471
0.325753,0.325753
0.318854,0.318854
0.318177,0.318177
0.348652,0.348652
0.325523,0.325523
0.340715,0.340715
0.318343,0.318343
0.319847,0.319847
0.310307,0.310307
0.323431,0.323431
0.342177,0.342177
0.328530,0.328530
0.338639,0.338639
0.309890,0.309890
0.335074,0.335074
0.312694,0.312694
0.328253,0.328253
0.313309,0.313309
0.310043,0.310043
0.322260,0.322260
0.341806,0.341806
0.305447,0.305447
0.330483,0.330483
0.324016,0.324016
0.343170,0.343170
0.332938,0.332938
0.311675,0.311675
0.305838,0.305838
0.342350,0.342350
0.309423,0.309423
0.315703,0.315703
0.311762,0.311762
0.323683,0.323683
0.318338,0.318338
0.316306,0.316306
0.335247,0.335247
0.329977,0.329977
0.316970,0.316970
0.339149,0.339149
0.311276,0.311276
0.322540,0.322540
