train_loss,train_loss_det
0.342354,0.342354
0.340531,0.340531
0.340664,0.340665
0.341429,0.341429
0.342672,0.342672
0.342477,0.342477
0.342100,0.342100
0.342713,0.342713
0.322085,0.322085
0.322179,0.322179
0.321242,0.321242
0.322223,0.322223
0.321966,0.321966
0.321532,0.321532
0.321425,0.321425
0.321653,0.321653
0.340372,0.340372
0.341787,0.341787
0.339384,0.339384
0.341343,0.341343
0.341688,0.341688
0.339135,0.339135
0.341489,0.341489
0.340961,0.340961
0.318392,0.318392
0.318532,0.318532
0.318380,0.318380
0.318897,0.318897
0.318242,0.318242
0.318964,0.318964
0.318779,0.318779
0.318705,0.318705
0.320614,0.320614
0.321085,0.321085
0.320775,0.320775
0.320579,0.320579
0.321144,0.321144
0.320720,0.320720
0.321007,0.321006
0.321139,0.321139
0.340575,0.340575
0.338596,0.338596
0.340351,0.340351
0.340747,0.340747
0.338768,0.338768
0.338848,0.338848
0.339378,0.339378
0.339502,0.339502
0.329277,0.329276
0.329220,0.329220
0.328602,0.328602
0.328355,0.328355
0.328159,0.328159
0.327742,0.327742
0.329318,0.329318
0.328439,0.328439
0.314699,0.314699
0.315429,0.315429
0.315594,0.315594
0.314441,0.314441
0.314012,0.314012
0.314127,0.314127
0.315323,0.315323
0.313892,0.313892
0.317577,0.317577
0.317832,0.317832
0.318974,0.318974
0.318058,0.318058
0.317465,0.317465
0.319115,0.319115
0.319129,0.319129
0.318464,0.318464
0.318827,0.318827
0.318965,0.318965
0.320208,0.320208
0.319006,0.319006
0.319357,0.319356
0.320284,0.320283
0.318999,0.318999
0.320397,0.320396
0.334196,0.334196
0.335591,0.335591
0.334978,0.334978
0.335070,0.335070
0.334150,0.334150
0.336311,0.336311
0.336303,0.336303
0.336136,0.336136
0.335128,0.335128
0.334906,0.334905
0.334386,0.334386
0.335655,0.335655
0.334257,0.334257
0.335636,0.335636
0.335614,0.335614
0.334597,0.334597
0.328927,0.328927
0.328869,0.328868
0.328354,0.328354
0.327606,0.327606
0.328247,0.328247
0.329226,0.329225
0.329476,0.329476
0.328304,0.328303
0.336032,0.336032
0.336549,0.336548
0.336789,0.336789
0.336046,0.336046
0.336688,0.336688
0.335174,0.335174
0.335339,0.335339
0.335505,0.335505
0.325679,0.325679
0.325384,0.325384
0.325131,0.325131
0.326592,0.326592
0.326500,0.326500
0.325145,0.325145
0.326641,0.326641
0.325986,0.325986
0.330664,0.330664
0.330831,0.330831
0.331411,0.331411
0.330111,0.330111
0.329806,0.329806
0.331247,0.331247
0.329893,0.329893
0.329868,0.329868
0.324302,0.324302
0.324152,0.324152
0.326322,0.326322
0.324850,0.324850
0.326313,0.326313
0.325197,0.325197
0.325518,0.325518
0.326190,0.326190
0.333620,0.333620
0.332502,0.332502
0.332978,0.332978
0.334417,0.334417
0.333391,0.333391
0.334502,0.334502
0.334593,0.334593
0.332517,0.332517
0.316993,0.316993
0.316755,0.316755
0.316736,0.316736
0.316871,0.316871
0.317095,0.317094
0.317739,0.317739
0.316757,0.316757
0.317335,0.317335
0.335457,0.335457
0.334658,0.334658
0.334027,0.334026
0.335081,0.335081
0.333694,0.333694
0.334166,0.334166
0.335700,0.335700
0.335148,0.335148
0.342081,0.342081
0.343478,0.343478
0.343741,0.343740
0.343705,0.343705
0.342936,0.342936
0.343155,0.343155
0.342267,0.342267
0.343814,0.343814
0.330192,0.330192
0.329389,0.329388
0.328316,0.328316
0.330288,0.330288
0.328963,0.328963
0.328337,0.328337
0.330019,0.330019
0.328708,0.328708
0.334541,0.334541
0.333010,0.333010
0.333803,0.333803
0.334651,0.334651
0.333850,0.333850
0.334674,0.334674
0.333030,0.333030
0.334175,0.334175
0.324350,0.324350
0.325245,0.325245
0.324463,0.324463
0.325043,0.325043
0.323920,0.323920
0.324250,0.324250
0.325103,0.325103
0.323882,0.323882
0.321643,0.321643
0.321133,0.321133
0.321044,0.321044
0.320700,0.320700
0.321813,0.321813
0.320936,0.320936
0.321646,0.321646
0.320646,0.320646
0.329794,0.329793
0.328432,0.328432
0.328425,0.328425
0.329733,0.329733
0.329001,0.329001
0.328486,0.328486
0.329163,0.329163
0.329725,0.329725
0.323023,0.323023
0.323296,0.323296
0.322928,0.322928
0.323009,0.323009
0.323099,0.323099
0.323364,0.323364
0.323845,0.323845
0.323642,0.323642
0.324388,0.324388
0.324949,0.324949
0.325026,0.325026
0.324262,0.324262
0.326211,0.326211
0.326187,0.326187
0.326017,0.326017
0.325643,0.325643
0.313048,0.313048
0.313349,0.313349
0.313785,0.313785
0.312866,0.312866
0.314029,0.314029
0.312968,0.312968
0.313384,0.313384
0.313551,0.313551
0.350173,0.350172
0.348078,0.348078
0.350008,0.350008
0.349120,0.349120
0.347782,0.347782
0.349954,0.349954
0.348948,0.348948
0.348451,0.348450
0.327227,0.327227
0.326791,0.326791
0.326554,0.326554
0.328209,0.328209
0.328353,0.328353
0.326925,0.326925
0.326952,0.326952
0.328040,0.328040
0.341228,0.341228
0.343349,0.343349
0.341950,0.341950
0.342645,0.342645
0.343296,0.343296
0.342213,0.342213
0.341367,0.341367
0.343328,0.343328
0.312046,0.312046
0.311113,0.311113
0.311150,0.311150
0.311852,0.311852
0.311246,0.311246
0.311986,0.311986
0.311438,0.311438
0.311466,0.311466
0.331816,0.331816
0.331524,0.331524
0.330648,0.330648
0.331888,0.331888
0.331996,0.331996
0.331286,0.331286
0.330777,0.330777
0.331737,0.331737
0.337205,0.337205
0.335857,0.335858
0.334672,0.334672
0.335499,0.335499
0.336441,0.336441
0.337021,0.337021
0.336507,0.336507
0.335631,0.335631
0.317604,0.317604
0.317500,0.317500
0.318566,0.318566
0.317923,0.317923
0.318339,0.318339
0.318582,0.318582
0.317793,0.317793
0.318246,0.318246
0.357083,0.357082
0.356008,0.356007
0.355789,0.355789
0.355858,0.355858
0.357375,0.357375
0.356453,0.356453
0.357442,0.357442
0.356687,0.356687
0.336647,0.336647
0.336072,0.336071
0.334560,0.334560
0.335442,0.335442
0.336865,0.336865
0.336830,0.336830
0.335503,0.335503
0.334366,0.334366
0.325596,0.325595
0.325657,0.325657
0.327048,0.327048
0.326151,0.326151
0.326201,0.326201
0.327213,0.327213
0.326701,0.326701
0.327348,0.327348
0.324079,0.324079
0.325263,0.325262
0.326264,0.326264
0.326473,0.326473
0.324939,0.324939
0.326425,0.326425
0.324337,0.324337
0.325664,0.325664
0.338071,0.338071
0.338772,0.338772
0.337873,0.337873
0.338568,0.338568
0.339414,0.339414
0.339297,0.339297
0.339101,0.339101
0.338088,0.338088
0.317728,0.317727
0.316978,0.316978
0.316391,0.316391
0.316211,0.316211
0.317854,0.317854
0.316426,0.316426
0.317459,0.317459
0.317754,0.317754
0.309080,0.309080
0.306841,0.306841
0.307561,0.307561
0.307269,0.307269
0.308620,0.308620
0.308365,0.308365
0.307130,0.307130
0.308158,0.308158
0.341626,0.341625
0.343754,0.343754
0.342231,0.342230
0.343493,0.343492
0.342874,0.342874
0.343133,0.343133
0.343417,0.343417
0.341752,0.341752
0.333527,0.333527
0.331506,0.331506
0.332257,0.332257
0.332882,0.332882
0.333246,0.333246
0.333458,0.333458
0.332163,0.332163
0.331315,0.331315
0.325626,0.325626
0.324628,0.324628
0.327137,0.327137
0.326745,0.326745
0.324864,0.324864
0.326309,0.326309
0.325639,0.325639
0.327101,0.327101
0.305706,0.305706
0.307054,0.307054
0.307019,0.307019
0.307217,0.307217
0.307223,0.307223
0.307242,0.307242
0.306434,0.306434
0.307434,0.307434
0.320733,0.320733
0.323033,0.323033
0.322350,0.322350
0.321714,0.321714
0.320572,0.320572
0.321563,0.321563
0.322701,0.322701
0.323049,0.323049
0.342185,0.342185
0.342471,0.342471
0.341812,0.341812
0.342332,0.342332
0.341353,0.341353
0.340443,0.340443
0.340620,0.340620
0.342181,0.342181
0.323801,0.323801
0.323700,0.323700
0.325594,0.325594
0.325713,0.325713
0.324803,0.324803
0.324292,0.324292
0.323954,0.323953
